,brand,cpu_GHZ,cpu_benchmark,cpu_brand,cpu_type_name,detachable_keyboard,discrete_gpu,gpu,gpu_benchmark,gpu_brand,gpu_type,max_price,min_price,pixels_x,ram,screen_size,screen_surface,ssd,touchscreen,weight
0,LENOVO,2.4,2715.0,INTEL,CORE I7,0.0,0,INTEL HD,10.0,INTEL,HD,899.0,899.0,1920.0,8,15.6,GLOSSY,0,1,4.6
1,RAZER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070 MAX-Q,,NVIDIA,GEFORCE RTX 2070 MAX-Q,2099.99,2099.99,1920.0,16,15.6,MATTE,512,0,4.63
2,HP,2.5,1032.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,449.0,439.0,1366.0,8,15.6,,0,0,4.63
3,ACER,2.2,3676.0,INTEL,CORE I3,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,449.0,375.0,1920.0,6,15.6,MATTE,0,0,5.3
4,HP,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,559.0,559.0,1600.0,8,17.3,GLOSSY,0,0,5.8
5,HP,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,172.0,172.0,1366.0,4,11.6,GLOSSY,16,1,2.6
6,HP,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,628.5,619.99,1366.0,8,15.6,GLOSSY,0,1,4.52
7,ASUS,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,1646.99,1646.99,1920.0,16,17.3,MATTE,256,0,6.5
8,DELL,1.4,849.0,INTEL,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,78.9,69.0,1366.0,4,11.6,GLOSSY,16,0,2.9
9,DELL,2.4,2806.0,INTEL,CORE I3,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,389.0,379.0,1366.0,8,15.6,GLOSSY,0,0,5.07
10,ACER,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,185.0,174.98,1366.0,2,15.6,MATTE,16,0,4.3
11,HP,2.16,618.0,INTEL,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,236.88,236.87,1366.0,4,14.0,GLOSSY,16,0,3.7
12,DELL,2.5,1032.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,288.99,288.98,1366.0,4,15.6,,0,0,5.07
13,HP,1.1,1123.0,INTEL,CELERON,0.0,0,INTEL HD 500,317.0,INTEL,HD 500,289.99,289.99,1366.0,4,14.0,GLOSSY,32,1,3.4
14,DELL,1.6,1032.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,288.0,288.0,1366.0,4,11.6,GLOSSY,32,1,3.41
15,DELL,1.7,2343.0,INTEL,CORE I5,0.0,0,INTEL HD 4400,530.0,INTEL,HD 4400,399.9,399.9,1366.0,6,15.6,GLOSSY,0,0,6.0
16,MSI,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1650,6318.0,NVIDIA,GEFORCE GTX 1650,896.48,839.0,1920.0,8,15.6,MATTE,256,0,5.07
17,ASUS,1.6,6068.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,579.99,579.0,1920.0,8,15.6,MATTE,256,0,3.97
18,ASUS,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,NVIDIA,GEFORCE GTX 1050 TI,1539.0,1539.0,1920.0,8,17.3,MATTE,0,0,6.6
19,ASUS,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,1649.0,1639.0,1920.0,16,15.6,MATTE,256,0,5.4
20,DELL,2.5,5260.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,NVIDIA,GEFORCE GTX 1050 TI,763.2,760.0,1920.0,8,15.6,MATTE,256,0,6.61
21,ACER,1.8,6777.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,719.0,719.0,1920.0,16,14.0,GLOSSY,512,1,3.75
22,MSI,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1650,6318.0,NVIDIA,GEFORCE GTX 1650,949.0,888.95,1920.0,16,15.6,MATTE,512,0,4.1
23,APPLE,1.6,2142.0,INTEL,CORE I5,,0,INTEL HD 6000,829.0,INTEL,HD 6000,405.82,380.44,1366.0,4,11.6,GLOSSY,128,0,2.38
24,DELL,2.0,6317.0,AMD,RYZEN 5,0.0,0,AMD RADEON VEGA 8,1406.0,AMD,RADEON VEGA 8,565.0,565.0,1920.0,16,15.6,GLOSSY,0,1,4.89
25,ASUS,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,NVIDIA,GEFORCE GTX 1060,1599.0,1588.0,1920.0,16,17.3,MATTE,256,0,6.39
26,HP,2.0,2341.0,AMD,A8,0.0,0,AMD RADEON R5,148.0,AMD,RADEON R5,449.99,449.99,1366.0,4,15.6,GLOSSY,0,0,4.8
27,DELL,2.6,6661.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 960M,3467.0,NVIDIA,GEFORCE GTX 960M,809.99,809.99,1920.0,8,15.6,MATTE,8,0,5.67
28,DELL,1.6,1243.0,INTEL,PENTIUM,0.0,0,INTEL HD,10.0,INTEL,HD,399.99,399.99,1366.0,4,15.6,GLOSSY,0,0,4.85
29,SAMSUNG,2.5,3369.0,INTEL,CORE I7,0.0,0,INTEL HD 520,830.0,INTEL,HD 520,722.0,722.0,1920.0,8,15.0,MATTE,256,0,2.9
30,HP,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,11018.0,NVIDIA,GEFORCE RTX 2070,2199.99,2199.99,3840.0,64,15.6,MATTE,2000,0,5.26
31,SAMSUNG,2.0,,OP1,,0.0,0,,,,,584.97,559.0,2400.0,4,12.3,GLOSSY,32,1,2.38
32,HP,1.1,2801.0,INTEL,PENTIUM,0.0,0,INTEL UHD 605,355.0,INTEL,UHD 605,360.0,325.99,1366.0,4,15.6,GLOSSY,0,1,
33,HP,2.5,4061.0,AMD,RYZEN 3,0.0,0,AMD RADEON VEGA 3,904.0,AMD,RADEON VEGA 3,551.57,475.0,1366.0,8,15.6,GLOSSY,0,1,4.6
34,LENOVO,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,693.0,693.0,1600.0,8,17.3,MATTE,0,0,6.17
35,LENOVO,2.7,2741.0,AMD,A12,0.0,0,AMD RADEON R7,551.0,AMD,RADEON R7,424.22,424.22,1366.0,8,15.6,MATTE,0,0,4.85
36,ACER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,11844.0,NVIDIA,GEFORCE RTX 2060,1652.6,1637.0,1920.0,16,15.6,MATTE,512,0,4.41
37,HP,2.7,3500.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,1499.77,1499.77,3840.0,16,15.6,GLOSSY,512,1,4.42
38,APPLE,2.9,1302.0,INTEL,CORE I7,0.0,0,INTEL HD 4000,329.0,INTEL,HD 4000,529.99,479.95,1280.0,8,13.3,GLOSSY,0,0,4.5
39,MICROSOFT,1.3,8923.0,INTEL,CORE I7,0.0,0,INTEL IRIS PLUS,1377.0,INTEL,IRIS PLUS,1259.0,1250.36,2736.0,16,12.3,GLOSSY,256,1,1.74
40,DELL,1.7,2343.0,INTEL,CORE I5,0.0,0,INTEL HD,10.0,INTEL,HD,669.0,669.0,1366.0,6,15.6,GLOSSY,0,1,5.7
41,ACER,2.5,3522.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,999.0,999.0,1920.0,8,15.6,MATTE,256,0,5.27
42,LENOVO,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,999.0,995.49,1920.0,16,13.3,GLOSSY,512,1,2.9
43,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,11844.0,NVIDIA,GEFORCE RTX 2060,1449.0,1399.0,1920.0,32,15.6,MATTE,500,0,5.0
44,DELL,1.9,1115.0,INTEL,CORE I3,0.0,0,INTEL HD (UMA),,INTEL,HD (UMA),417.57,417.57,1366.0,4,15.6,GLOSSY,0,1,6.0
45,MSI,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,1649.0,1649.0,1920.0,16,17.3,MATTE,256,0,5.95
46,DELL,1.6,6068.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,445.0,431.05,1366.0,8,15.6,GLOSSY,256,1,4.41
47,DELL,1.9,1863.0,INTEL,CORE I3,0.0,0,INTEL HD,10.0,INTEL,HD,498.88,498.88,1366.0,4,15.6,GLOSSY,0,1,5.3
48,ACER,2.16,618.0,INTEL,CELERON,0.0,0,INTEL HD,10.0,INTEL,HD,139.99,134.99,1366.0,2,11.6,MATTE,16,0,2.43
49,LENOVO,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,824.99,824.99,1920.0,8,14.0,GLOSSY,256,1,3.42
50,DELL,1.8,6134.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE 940MX,1603.0,NVIDIA,GEFORCE 940MX,899.99,899.99,1920.0,8,15.6,GLOSSY,0,1,4.41
51,ASUS,2.3,4398.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,NVIDIA,GEFORCE GTX 1060,799.9,799.9,1920.0,16,15.6,MATTE,0,0,4.9
52,DELL,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,1079.99,1072.0,3840.0,8,13.3,GLOSSY,256,1,2.68
53,DELL,1.9,6807.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,INTEL,UHD 620,1199.0,1199.0,1920.0,16,15.6,MATTE,512,0,4.03
54,RAZER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,2999.11,2999.11,1920.0,16,15.6,MATTE,256,0,4.63
55,ACER,2.2,2546.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE 940M,1048.0,NVIDIA,GEFORCE 940M,789.0,789.0,1920.0,8,15.6,MATTE,0,0,5.29
56,ALIENWARE,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,1496.79,1491.79,1920.0,16,15.6,MATTE,128,0,7.69
57,LENOVO,1.1,2645.0,INTEL,CELERON,0.0,0,INTEL UHD 600,345.0,INTEL,UHD 600,255.0,255.0,1366.0,4,15.6,MATTE,0,0,4.85
58,HP,2.0,2076.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,AMD,RADEON R4,465.0,465.0,1366.0,4,15.6,GLOSSY,0,0,4.74
59,ASUS,0.9,1862.0,INTEL,CORE M3,0.0,0,INTEL HD 515,688.0,INTEL,HD 515,599.9,509.97,1920.0,4,12.5,GLOSSY,64,1,2.65
60,HP,1.1,2801.0,INTEL,PENTIUM,0.0,0,INTEL UHD 605,355.0,INTEL,UHD 605,407.98,379.0,1366.0,8,15.6,GLOSSY,0,1,4.3
61,HP,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,INTEL,HD 620,475.0,440.0,1366.0,8,14.0,GLOSSY,0,0,3.63
62,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,11018.0,NVIDIA,GEFORCE RTX 2070,1799.0,1679.0,1920.0,32,15.6,MATTE,500,0,4.6
63,ACER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,NVIDIA,GEFORCE GTX 1070,1529.0,1529.0,1920.0,16,17.3,MATTE,256,0,8.82
64,HP,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,142.84,140.89,1366.0,4,11.6,MATTE,16,0,2.51
65,APPLE,1.2,2644.0,INTEL,CORE M3,0.0,0,INTEL HD 615,799.0,INTEL,HD 615,899.99,799.99,2304.0,8,12.0,GLOSSY,256,0,2.03
66,DELL,2.2,2546.0,INTEL,CORE I5,0.0,0,INTEL HD 4400,530.0,INTEL,HD 4400,588.0,588.0,1920.0,8,15.6,GLOSSY,0,1,5.3
67,DELL,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,INTEL,HD 400,379.0,378.99,1366.0,4,15.6,GLOSSY,0,0,5.07
